dataset,scene,psnr,ssim,lpips,primitives
mipnerf360,bonsai,34.8662,0.9566,0.2312,1500000
mipnerf360,kitchen,32.9798,0.9369,0.1474,1500000
mipnerf360,room,33.2605,0.9365,0.2573,1500000
mipnerf360,counter,31.042,0.9296,0.2245,1500000
mipnerf360,bicycle,25.754,0.7953,0.1955,6000000
mipnerf360,garden,27.9231,0.8756,0.1135,5000000
mipnerf360,flowers,22.1844,0.6389,0.337,3000000
mipnerf360,stump,27.3183,0.8057,0.2108,4500000
mipnerf360,treehill,23.0827,0.6562,0.3333,3500000
mipnerf360,avg,28.712333333333333,0.8368111111111111,0.22783333333333328,3111111.111111111


tandt,train,23.251,0.8451,0.2142,1000000
tandt,truck,26.7564,0.9038,0.1249,2500000
tandt,avg,25.003700000000002,0.87445,0.16955,1750000.0


db,drjohnson,29.9587,0.9139,0.3043,3500000
db,playroom,31.2955,0.9199,0.292,2500000
db,avg,30.6271,0.9169,0.29815,3000000.0


nerf_synthetic,lego,37.1485,0.9863,0.0154,325000
nerf_synthetic,mic,37.3856,0.9943,0.0058,320000
nerf_synthetic,ship,31.494,0.9106,0.1165,360000
nerf_synthetic,chair,37.1801,0.9898,0.0124,270000
nerf_synthetic,ficus,36.9286,0.991,0.0094,300000
nerf_synthetic,hotdog,38.4899,0.9883,0.02,150000
nerf_synthetic,materials,30.9766,0.967,0.0363,290000
nerf_synthetic,drums,27.0465,0.9585,0.037,350000
nerf_synthetic,avg,34.581224999999996,0.9732249999999999,0.031599999999999996,295625.0
